"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"Hdlbp",0,0.502955728870808,0.651,0.356,0,"0","Hdlbp"
"Ecm1",0,0.492520072194866,0.546,0.24,0,"0","Ecm1"
"Rpsa",0,0.492346111777886,1,1,0,"0","Rpsa"
"Gstm5",0,0.491695719350387,0.449,0.13,0,"0","Gstm5"
"Yipf5",0,0.478702699805309,0.538,0.222,0,"0","Yipf5"
"Col16a1",0,0.478352232136893,0.343,0.05,0,"0","Col16a1"
"Steap3",0,0.478076068193846,0.329,0.03,0,"0","Steap3"
"Entpd2",0,0.4776099266435,0.286,0.027,0,"0","Entpd2"
"1500009L16Rik",0,0.476163149989771,0.384,0.086,0,"0","1500009L16Rik"
"Tmem64",0,0.475260635630352,0.4,0.121,0,"0","Tmem64"
"Cpxm1",0,0.475190863663963,0.331,0.051,0,"0","Cpxm1"
"Sec22b",0,0.473388586596539,0.573,0.278,0,"0","Sec22b"
"Medag",0,0.472495416027585,0.297,0.025,0,"0","Medag"
"Erlec1",0,0.471271921673469,0.484,0.166,0,"0","Erlec1"
"Golt1b",0,0.467143641276105,0.532,0.24,0,"0","Golt1b"
"Mxra7",0,0.466804635822977,0.48,0.178,0,"0","Mxra7"
"Ptprs",0,0.464963399308976,0.423,0.115,0,"0","Ptprs"
"Svep1",0,0.46026010645345,0.305,0.021,0,"0","Svep1"
"Fam114a1",0,0.458887577782826,0.414,0.103,0,"0","Fam114a1"
"Sntb2",0,0.457357573855638,0.499,0.215,0,"0","Sntb2"
"Ikbip",0,0.456511327065347,0.421,0.113,0,"0","Ikbip"
"Bcl7c",0,0.452964782952427,0.528,0.231,0,"0","Bcl7c"
"Fxyd1",0,0.449132689987691,0.559,0.169,0,"0","Fxyd1"
"Ddr2",0,0.444638098971944,0.387,0.082,0,"0","Ddr2"
"Eef1g",0,0.44396843890382,0.998,0.988,0,"0","Eef1g"
"Clmp",0,0.443097319564129,0.405,0.112,0,"0","Clmp"
"Spry1",0,0.442261294320379,0.388,0.106,0,"0","Spry1"
"Camk2n1",0,0.436436703372475,0.374,0.1,0,"0","Camk2n1"
"Rem1",0,0.431686106251793,0.367,0.082,0,"0","Rem1"
"Rnase4",0,0.429991552850005,0.503,0.179,0,"0","Rnase4"
"Ak1",0,0.429677216376098,0.34,0.092,0,"0","Ak1"
"Creb3l2",0,0.429212615495099,0.407,0.133,0,"0","Creb3l2"
"Egr2",0,0.426475411128978,0.364,0.109,0,"0","Egr2"
"Rpl22l1",0,0.425302066164456,0.998,0.994,0,"0","Rpl22l1"
"Scarf2",0,0.420618943804145,0.353,0.071,0,"0","Scarf2"
"Cdc42ep5",0,0.417482059202898,0.451,0.166,0,"0","Cdc42ep5"
"Rnd3",0,0.413324984475023,0.351,0.104,0,"0","Rnd3"
"Rpl12",0,0.413056364735048,0.999,0.994,0,"0","Rpl12"
"Wipi1",0,0.405640413950559,0.384,0.109,0,"0","Wipi1"
"Col27a1",0,0.405092454219916,0.31,0.054,0,"0","Col27a1"
"Pde1a",0,0.403461120846808,0.341,0.067,0,"0","Pde1a"
"Gstm2",0,0.402565082569393,0.385,0.118,0,"0","Gstm2"
"Matn4",0,0.40034314231279,0.278,0.051,0,"0","Matn4"
"C1qtnf2",0,0.39967294319611,0.299,0.058,0,"0","C1qtnf2"
"Praf2",0,0.398989398421277,0.426,0.151,0,"0","Praf2"
"Plod2",0,0.397622113890061,0.357,0.108,0,"0","Plod2"
"Slit2",0,0.396899716585382,0.283,0.044,0,"0","Slit2"
"Serf2",0,0.395018491054231,1,1,0,"0","Serf2"
"Adam9",0,0.388133273969073,0.374,0.119,0,"0","Adam9"
"Gfpt2",0,0.386067487090362,0.277,0.049,0,"0","Gfpt2"
"Naalad2",0,0.384229155918666,0.327,0.064,0,"0","Naalad2"
"Dclk1",0,0.380293200795555,0.259,0.027,0,"0","Dclk1"
"Ptk7",0,0.378684370352106,0.365,0.102,0,"0","Ptk7"
"Podxl2",0,0.377297440877832,0.324,0.083,0,"0","Podxl2"
"Fkbp14",0,0.373527727682999,0.335,0.079,0,"0","Fkbp14"
"Rps3a1",0,0.372254005476639,1,1,0,"0","Rps3a1"
"Efs",0,0.367574393241707,0.265,0.018,0,"0","Efs"
"Slc25a4",0,0.365734838334839,0.991,0.943,0,"0","Slc25a4"
"Slc38a4",0,0.365208637094791,0.264,0.024,0,"0","Slc38a4"
"Tgfb2",0,0.360368311498117,0.327,0.084,0,"0","Tgfb2"
"Itga8",0,0.350710229662204,0.28,0.056,0,"0","Itga8"
"Ctsk",0,0.348798799088165,0.261,0.048,0,"0","Ctsk"
"Phgdh",0,0.333665069848473,0.277,0.061,0,"0","Phgdh"
"Klhl13",0,0.332877747245762,0.282,0.063,0,"0","Klhl13"
"B3gnt9",0,0.331686163526195,0.278,0.044,0,"0","B3gnt9"
"Numbl",0,0.322488506941974,0.257,0.036,0,"0","Numbl"
"Ebf2",1.67209245201727e-307,0.300201893871624,0.259,0.051,3.03518221890175e-303,"0","Ebf2"
"Rpl4",6.409977203735e-307,0.366877013008356,1,0.999,1.16353906202198e-302,"0","Rpl4"
"Fhl2",9.30414853221996e-305,0.548885115569342,0.411,0.153,1.68888904156857e-300,"0","Fhl2"
"Cd302",5.153705160053e-301,0.457882826591091,0.503,0.221,9.35500560652821e-297,"0","Cd302"
"Nedd4",1.79666311244565e-300,0.485332710410596,0.907,0.681,3.26130288171135e-296,"0","Nedd4"
"Atf5",2.19610366663215e-299,0.421581027603717,0.389,0.135,3.98636737567068e-295,"0","Atf5"
"Myh10",1.28070903100156e-298,0.460101820545883,0.503,0.221,2.32474303307403e-294,"0","Myh10"
"Calr",1.70619613109806e-296,0.51101202412904,0.965,0.906,3.09708721716921e-292,"0","Calr"
"Rpl14",1.03788456662586e-295,0.297577199687378,1,0.999,1.88396806533927e-291,"0","Rpl14"
"Cnpy2",1.81525335965571e-295,0.483660216041516,0.654,0.367,3.29504789844704e-291,"0","Cnpy2"
"Slc16a2",7.91994502231037e-295,0.4335887022818,0.387,0.137,1.43762842044978e-290,"0","Slc16a2"
"Prrx1",2.12535016917018e-293,0.339225863732028,0.34,0.098,3.8579356270777e-289,"0","Prrx1"
"Gas7",4.97307847545903e-290,0.381519178406436,0.3,0.081,9.02713204865323e-286,"0","Gas7"
"Wbp5",5.01683613444158e-290,0.44106342394051,0.946,0.818,9.10656095123836e-286,"0","Wbp5"
"Nov",8.6438794824699e-286,1.09591570718955,0.287,0.079,1.56903700365794e-281,"0","Nov"
"Cacnb3",3.43633976610791e-285,0.334828156618726,0.337,0.103,6.23764394343908e-281,"0","Cacnb3"
"Manf",8.31397515813012e-284,0.577383006998171,0.798,0.561,1.50915277070378e-279,"0","Manf"
"Ugdh",1.63917451676969e-282,0.487744657338831,0.476,0.208,2.97542958284034e-278,"0","Ugdh"
"Clca3a1",6.76204453936841e-279,0.391031934770208,0.297,0.081,1.22744632478615e-274,"0","Clca3a1"
"Rpl39",7.65732641819898e-279,0.338136449261121,1,1,1.38995789143148e-274,"0","Rpl39"
"Vstm4",8.64421658425593e-278,0.322728602078018,0.274,0.066,1.56909819437414e-273,"0","Vstm4"
"Bsg",8.86359682240105e-278,0.342555440007293,0.955,0.867,1.60892009520224e-273,"0","Bsg"
"Swi5",3.16158557039968e-275,0.460585530938193,0.871,0.697,5.7389101273895e-271,"0","Swi5"
"Dnajc25",3.35195116663066e-275,0.328999988640801,0.315,0.094,6.08446175766797e-271,"0","Dnajc25"
"Pja1",2.39792884276087e-273,0.419471073543921,0.409,0.158,4.35272043537954e-269,"0","Pja1"
"Tmem39a",7.46314539965531e-270,0.304301085215608,0.301,0.086,1.35471015294543e-265,"0","Tmem39a"
"Rps8",2.98739425042852e-269,0.277214790528088,1,1,5.42271804337785e-265,"0","Rps8"
"9530068E07Rik",1.27670958538426e-267,0.406927982060413,0.591,0.308,2.31748323938951e-263,"0","9530068E07Rik"
"Pmepa1",8.63618419387296e-266,0.488044288491533,0.388,0.149,1.56764015487182e-261,"0","Pmepa1"
"Prrc1",4.98766250274083e-265,0.346710489196883,0.38,0.14,9.05360497497515e-261,"0","Prrc1"
"Nbl1",2.01176120718494e-263,0.44537546124602,0.362,0.126,3.6517489432821e-259,"0","Nbl1"
"Rhobtb3",2.07185239201095e-263,0.276826042911707,0.257,0.062,3.76082646197828e-259,"0","Rhobtb3"
"Rpl10a",1.99700094783693e-262,0.345292399994308,1,0.999,3.6249561205136e-258,"0","Rpl10a"
"Surf4",7.70497590240124e-262,0.440156182058619,0.585,0.317,1.39860722580387e-257,"0","Surf4"
"H13",1.00840062405801e-261,0.456028920455421,0.657,0.387,1.83044881279009e-257,"0","H13"
"Pebp1",3.54041696429299e-260,0.436129003704458,0.892,0.752,6.42656487358464e-256,"0","Pebp1"
"Zbtb20",9.05767372678738e-260,0.522448901727228,0.682,0.4,1.64414893488645e-255,"0","Zbtb20"
"Rbms2",1.21141155901922e-258,0.376331378567434,0.479,0.216,2.19895426193168e-254,"0","Rbms2"
"Lix1l",7.37508437047953e-258,0.321011838474908,0.359,0.126,1.33872531492944e-253,"0","Lix1l"
"Adprh",4.74199907307664e-256,0.392225978245082,0.526,0.259,8.60767671744872e-252,"0","Adprh"
"Slc50a1",2.50851499275519e-254,0.399604316330814,0.526,0.26,4.55345641484922e-250,"0","Slc50a1"
"Mrfap1",2.45114930990249e-251,0.38678425280789,0.942,0.84,4.449326227335e-247,"0","Mrfap1"
"Rps4x",3.06875440277632e-249,0.325191320027155,1,1,5.57040299191958e-245,"0","Rps4x"
"Tsen34",1.55956010635066e-248,0.418046790391925,0.644,0.37,2.83091350504772e-244,"0","Tsen34"
"Rplp0",8.00790720633034e-248,0.328107840391087,0.999,1,1.45359531609308e-243,"0","Rplp0"
"Ppic",2.01085101755649e-247,0.409120298881793,0.96,0.795,3.65009676706853e-243,"0","Ppic"
"Tnfrsf12a",2.37526642714661e-247,0.611953320569004,0.546,0.302,4.31158361855653e-243,"0","Tnfrsf12a"
"Rcn2",2.57401529825674e-247,0.41225611037116,0.645,0.367,4.67235256939563e-243,"0","Rcn2"
"Fndc3b",3.17664948523496e-246,0.387320827735409,0.478,0.221,5.76625414559849e-242,"0","Fndc3b"
"Dock7",4.21411784156993e-245,0.291032789843592,0.287,0.085,7.64946670601773e-241,"0","Dock7"
"Sec24d",1.09835970509123e-244,0.303840836241829,0.315,0.102,1.99374253668159e-240,"0","Sec24d"
"Spry2",4.78175707632456e-244,0.539872042730309,0.365,0.139,8.67984544494434e-240,"0","Spry2"
